scenario,receiver,alpha,eta,nu,latency,dead_time,jitter_deg,trials,errors,ber,helstrom_bound
03_Phase_Jitter_5deg,Dolinar,0.95,1.0,0.0,0.0,0.0,5.0,100000000,1033928,0.01033928,0.0068093286735723
03_Phase_Jitter_5deg,Opt_Kennedy,0.95,1.0,0.0,0.0,0.0,5.0,100000000,1601315,0.01601315,0.0068093286735723
03_Phase_Jitter_5deg,Dolinar,1.0208333333333333,1.0,0.0,0.0,0.0,5.0,100000000,748663,0.00748663,0.0038843281395801
03_Phase_Jitter_5deg,Opt_Kennedy,1.0208333333333333,1.0,0.0,0.0,0.0,5.0,100000000,1135083,0.01135083,0.0038843281395801
03_Phase_Jitter_5deg,Dolinar,1.0916666666666668,1.0,0.0,0.0,0.0,5.0,100000000,578593,0.00578593,0.002131124707823
03_Phase_Jitter_5deg,Opt_Kennedy,1.0916666666666668,1.0,0.0,0.0,0.0,5.0,100000000,866256,0.00866256,0.002131124707823
03_Phase_Jitter_5deg,Dolinar,1.1625,1.0,0.0,0.0,0.0,5.0,100000000,481267,0.00481267,0.001124075168671
03_Phase_Jitter_5deg,Opt_Kennedy,1.1625,1.0,0.0,0.0,0.0,5.0,100000000,732689,0.00732689,0.001124075168671
03_Phase_Jitter_5deg,Dolinar,1.2333333333333334,1.0,0.0,0.0,0.0,5.0,100000000,427869,0.00427869,0.0005698320948016
03_Phase_Jitter_5deg,Opt_Kennedy,1.2333333333333334,1.0,0.0,0.0,0.0,5.0,100000000,684929,0.00684929,0.0005698320948016
03_Phase_Jitter_5deg,Dolinar,1.3041666666666667,1.0,0.0,0.0,0.0,5.0,100000000,399746,0.00399746,0.0002775749626994
03_Phase_Jitter_5deg,Opt_Kennedy,1.3041666666666667,1.0,0.0,0.0,0.0,5.0,100000000,690826,0.00690826,0.0002775749626994
03_Phase_Jitter_5deg,Dolinar,1.375,1.0,0.0,0.0,0.0,5.0,100000000,385964,0.00385964,0.000129910547289
03_Phase_Jitter_5deg,Opt_Kennedy,1.375,1.0,0.0,0.0,0.0,5.0,100000000,728830,0.0072883,0.000129910547289
03_Phase_Jitter_5deg,Dolinar,1.4458333333333333,1.0,0.0,0.0,0.0,5.0,100000000,380038,0.00380038,5.84130019065654e-05
03_Phase_Jitter_5deg,Opt_Kennedy,1.4458333333333333,1.0,0.0,0.0,0.0,5.0,100000000,788367,0.00788367,5.84130019065654e-05
03_Phase_Jitter_5deg,Dolinar,1.5166666666666666,1.0,0.0,0.0,0.0,5.0,100000000,375343,0.00375343,2.5232436221322985e-05
03_Phase_Jitter_5deg,Opt_Kennedy,1.5166666666666666,1.0,0.0,0.0,0.0,5.0,100000000,857755,0.00857755,2.5232436221322985e-05
03_Phase_Jitter_5deg,Dolinar,1.5875,1.0,0.0,0.0,0.0,5.0,100000000,374896,0.00374896,1.0470917661709043e-05
03_Phase_Jitter_5deg,Opt_Kennedy,1.5875,1.0,0.0,0.0,0.0,5.0,100000000,933403,0.00933403,1.0470917661709043e-05
03_Phase_Jitter_5deg,Dolinar,1.6583333333333334,1.0,0.0,0.0,0.0,5.0,100000000,374107,0.00374107,4.174282942914775e-06
03_Phase_Jitter_5deg,Opt_Kennedy,1.6583333333333334,1.0,0.0,0.0,0.0,5.0,100000000,1013090,0.0101309,4.174282942914775e-06
03_Phase_Jitter_5deg,Dolinar,1.7291666666666667,1.0,0.0,0.0,0.0,5.0,100000000,373622,0.00373622,1.5986321398875347e-06
03_Phase_Jitter_5deg,Opt_Kennedy,1.7291666666666667,1.0,0.0,0.0,0.0,5.0,100000000,1096976,0.01096976,1.5986321398875347e-06
03_Phase_Jitter_5deg,Dolinar,1.8,1.0,0.0,0.0,0.0,5.0,100000000,373754,0.00373754,5.88144145885483e-07
03_Phase_Jitter_5deg,Opt_Kennedy,1.8,1.0,0.0,0.0,0.0,5.0,100000000,1186342,0.01186342,5.88144145885483e-07
04_Phase_Jitter_8deg,Dolinar,0.1,1.0,0.0,0.0,0.0,8.0,100000000,40204598,0.40204598,0.4009917164479698
04_Phase_Jitter_8deg,Opt_Kennedy,0.1,1.0,0.0,0.0,0.0,8.0,100000000,41570549,0.41570549,0.4009917164479698
04_Phase_Jitter_8deg,Dolinar,0.1708333333333333,1.0,0.0,0.0,0.0,8.0,100000000,33579437,0.33579437,0.334033117602116
04_Phase_Jitter_8deg,Opt_Kennedy,0.1708333333333333,1.0,0.0,0.0,0.0,8.0,100000000,35765326,0.35765326,0.334033117602116
04_Phase_Jitter_8deg,Dolinar,0.2416666666666666,1.0,0.0,0.0,0.0,8.0,100000000,27440511,0.27440511,0.2717838894607052
04_Phase_Jitter_8deg,Opt_Kennedy,0.2416666666666666,1.0,0.0,0.0,0.0,8.0,100000000,30263488,0.30263488,0.2717838894607052
04_Phase_Jitter_8deg,Dolinar,0.3125,1.0,0.0,0.0,0.0,8.0,100000000,21900408,0.21900408,0.2156735354217483
04_Phase_Jitter_8deg,Opt_Kennedy,0.3125,1.0,0.0,0.0,0.0,8.0,100000000,25122349,0.25122349,0.2156735354217483
04_Phase_Jitter_8deg,Dolinar,0.3833333333333333,1.0,0.0,0.0,0.0,8.0,100000000,17097436,0.17097436,0.1666685181642737
04_Phase_Jitter_8deg,Opt_Kennedy,0.3833333333333333,1.0,0.0,0.0,0.0,8.0,100000000,20447569,0.20447569,0.1666685181642737
04_Phase_Jitter_8deg,Dolinar,0.4541666666666666,1.0,0.0,0.0,0.0,8.0,100000000,13030798,0.13030798,0.1252349270996688
04_Phase_Jitter_8deg,Opt_Kennedy,0.4541666666666666,1.0,0.0,0.0,0.0,8.0,100000000,16296714,0.16296714,0.1252349270996688
04_Phase_Jitter_8deg,Dolinar,0.525,1.0,0.0,0.0,0.0,8.0,100000000,9718086,0.09718086,0.09135588385022
04_Phase_Jitter_8deg,Opt_Kennedy,0.525,1.0,0.0,0.0,0.0,8.0,100000000,12695992,0.12695992,0.09135588385022
04_Phase_Jitter_8deg,Dolinar,0.5958333333333333,1.0,0.0,0.0,0.0,8.0,100000000,7112742,0.07112742,0.0645970922766597
04_Phase_Jitter_8deg,Opt_Kennedy,0.5958333333333333,1.0,0.0,0.0,0.0,8.0,100000000,9673418,0.09673418,0.0645970922766597
04_Phase_Jitter_8deg,Dolinar,0.6666666666666666,1.0,0.0,0.0,0.0,8.0,100000000,5136634,0.05136634,0.0442076447015774
04_Phase_Jitter_8deg,Opt_Kennedy,0.6666666666666666,1.0,0.0,0.0,0.0,8.0,100000000,7212034,0.07212034,0.0442076447015774
04_Phase_Jitter_8deg,Dolinar,0.7374999999999999,1.0,0.0,0.0,0.0,8.0,100000000,3692737,0.03692737,0.0292392249664353
04_Phase_Jitter_8deg,Opt_Kennedy,0.7374999999999999,1.0,0.0,0.0,0.0,8.0,100000000,5283770,0.0528377,0.0292392249664353
04_Phase_Jitter_8deg,Dolinar,0.8083333333333332,1.0,0.0,0.0,0.0,8.0,100000000,2682227,0.02682227,0.0186657817140447
04_Phase_Jitter_8deg,Opt_Kennedy,0.8083333333333332,1.0,0.0,0.0,0.0,8.0,100000000,3843276,0.03843276,0.0186657817140447
04_Phase_Jitter_8deg,Dolinar,0.8791666666666667,1.0,0.0,0.0,0.0,8.0,100000000,1998614,0.01998614,0.0114877244351074
04_Phase_Jitter_8deg,Opt_Kennedy,0.8791666666666667,1.0,0.0,0.0,0.0,8.0,100000000,2820211,0.02820211,0.0114877244351074
04_Phase_Jitter_8deg,Dolinar,0.95,1.0,0.0,0.0,0.0,8.0,100000000,1555723,0.01555723,0.0068093286735723
04_Phase_Jitter_8deg,Opt_Kennedy,0.95,1.0,0.0,0.0,0.0,8.0,100000000,2152495,0.02152495,0.0068093286735723
04_Phase_Jitter_8deg,Dolinar,1.0208333333333333,1.0,0.0,0.0,0.0,8.0,100000000,1278103,0.01278103,0.0038843281395801
04_Phase_Jitter_8deg,Opt_Kennedy,1.0208333333333333,1.0,0.0,0.0,0.0,8.0,100000000,1751311,0.01751311,0.0038843281395801
04_Phase_Jitter_8deg,Dolinar,1.0916666666666668,1.0,0.0,0.0,0.0,8.0,100000000,1114825,0.01114825,0.002131124707823
04_Phase_Jitter_8deg,Opt_Kennedy,1.0916666666666668,1.0,0.0,0.0,0.0,8.0,100000000,1551994,0.01551994,0.002131124707823
04_Phase_Jitter_8deg,Dolinar,1.1625,1.0,0.0,0.0,0.0,8.0,100000000,1024421,0.01024421,0.001124075168671
04_Phase_Jitter_8deg,Opt_Kennedy,1.1625,1.0,0.0,0.0,0.0,8.0,100000000,1497490,0.0149749,0.001124075168671
04_Phase_Jitter_8deg,Dolinar,1.2333333333333334,1.0,0.0,0.0,0.0,8.0,100000000,973236,0.00973236,0.0005698320948016
04_Phase_Jitter_8deg,Opt_Kennedy,1.2333333333333334,1.0,0.0,0.0,0.0,8.0,100000000,1534896,0.01534896,0.0005698320948016
04_Phase_Jitter_8deg,Dolinar,1.3041666666666667,1.0,0.0,0.0,0.0,8.0,100000000,946885,0.00946885,0.0002775749626994
04_Phase_Jitter_8deg,Opt_Kennedy,1.3041666666666667,1.0,0.0,0.0,0.0,8.0,100000000,1633196,0.01633196,0.0002775749626994
04_Phase_Jitter_8deg,Dolinar,1.375,1.0,0.0,0.0,0.0,8.0,100000000,933433,0.00933433,0.000129910547289
04_Phase_Jitter_8deg,Opt_Kennedy,1.375,1.0,0.0,0.0,0.0,8.0,100000000,1769146,0.01769146,0.000129910547289
04_Phase_Jitter_8deg,Dolinar,1.4458333333333333,1.0,0.0,0.0,0.0,8.0,100000000,928601,0.00928601,5.84130019065654e-05
04_Phase_Jitter_8deg,Opt_Kennedy,1.4458333333333333,1.0,0.0,0.0,0.0,8.0,100000000,1926952,0.01926952,5.84130019065654e-05
04_Phase_Jitter_8deg,Dolinar,1.5166666666666666,1.0,0.0,0.0,0.0,8.0,100000000,925083,0.00925083,2.5232436221322985e-05
04_Phase_Jitter_8deg,Opt_Kennedy,1.5166666666666666,1.0,0.0,0.0,0.0,8.0,100000000,2099955,0.02099955,2.5232436221322985e-05
04_Phase_Jitter_8deg,Dolinar,1.5875,1.0,0.0,0.0,0.0,8.0,100000000,924426,0.00924426,1.0470917661709043e-05
